Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
1999,75429679.5,30469.84,30735.387479992776,166.6,170.0325315918273,84066514.68820208,,,,,,,,,,,,,,,,,,,,
2000,78620765.21000001,32154.82,31642.282516537864,172.2,173.8013091546871,87754881.48374075,,,,,,,,,,,,,,,,,,,,
2001,89256917.67,32921.92,32575.936890600515,177.1,177.65362181630448,91605073.11130413,,,,,,,,,,,,,,,,,,,,
2002,93582323.99,33252.09,33537.14017772753,179.9,181.59132113533437,95624189.53619432,,,,,,,,,,,,,,,,,,,,
2003,98322767.05,34064.95,34526.70525111091,184.0,185.61629971030507,99819642.2303331,,,,,,,,,,,,,,,,,,,,
2004,105219440.69,35648.55,35545.4689690198,188.9,189.7304920892585,104199167.83943485,,,,,,,,,,,,,,,,,,,,
2005,117995366.55,36952.94,36594.29288251871,195.3,193.93587569957177,108770842.44979595,,,,,,,,,,,,,,,,,,,,
2006,122178446.88,38651.41,37674.06396406557,201.6,198.23447179837547,113543096.48105408,,,,,,,,,,,,,,,,,,,,
2007,126603159.88,40405.48,38785.69535760965,207.342,202.62834644403762,118524730.23233405,,,,,,,,,,,,,,,,,,,,
2008,132686050.45,41334.97,39930.12715082075,215.303,207.11961148919454,123724930.11049636,,,,,,,,,,,,,,,,,,,,
2009,135135817.71,40711.61,41108.327170106866,214.537,211.71042559577126,129153285.57036579,,,,,,,,,,,,,,,,,,,,
2010,145405555.4,41673.83,42321.291799087376,218.056,216.40299527252122,134819806.7982186,,,,,,,,,,,,,,,,,,,,
2011,150188802.28,42979.61,43570.046821217904,224.939,221.19957593554886,140734943.17112303,,,,,,,,,,,,,,,,,,,,
2012,152132431.23,44321.67,44855.64828727818,229.594,226.1024729923381,146909602.5261523,,,,,,,,,,,,,,,,,,,,
2013,147971179.61,44888.16,46179.183408454875,232.957,231.1140429498242,153355171.2750526,,,,,,,,,,,,,,,,,,,,
2014,150429548.81,46481.52,47541.77147577937,236.736,236.23669454700232,160083535.40139645,,,,,,,,,,,,,,,,,,,,
2015,160987024.12,48098.63,48944.564806691866,237.017,241.472889912666,167107102.37900797,,,,,,,,,,,,,,,,,,,,
2016,180389756.03,48642.15,50388.74971953715,240.007,246.825145748781,174438824.0520096,,,,,,,,,,,,,,,,,,,,
2017,180131887.65,50321.89,51875.54753681236,245.12,252.2960345401134,182092220.51875448,,,,,,,,,,,,,,,,,,,,
2018,181577565.59,52145.8,53406.21561802065,251.107,257.88818579065264,190081405.06361234,,,,,,,,,,,,,,,,,,,,
2019,201488722.26,54099.99,54982.04842299726,255.657,263.60428728743904,198421110.1826632,,,,,,,,,,,,,,,,,,,,
2020,205748925.0,55628.6,56604.37860661276,258.811,269.4470863924229,207126714.75120983,,,,,,,,,,,,,,,,,,,,
2021,209967707.48,60575.07,58274.578145774976,270.97,275.41939136292956,216214272.38329262,,,,,,,,,,,,,,,,,,,,
2022,218396312.24,63795.13,59994.059499688745,292.655,281.5240727014211,225700541.0354143,,,,,,,,,,,,,,,,,,,,
2023,229029320.62072,63795.13,61764.276804346955,304.702,287.7640645351566,235603013.9091584,235603013.9091584,235603013.9091584,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0
2024,,,63586.7271022689,,294.14236602643166,245939951.7095908,240825163.71925774,242554844.40253896,10438.74386956773,13048.429836959664,15658.115804351595,18267.80177174353,20877.48773913546,26096.859673919327,10221.650382287251,12777.062977859063,15332.475573430876,17887.88816900269,20443.300764574502,25554.125955718126,10295.065431381152,12868.83178922644,15442.598147071727,18016.364504917015,20590.130862762304,25737.66357845288
2025,,,65462.95160852402,,300.66204281409733,256730416.31903106,246163062.67953587,249711799.38226303,10896.737357443939,13620.921696804924,16345.10603616591,19069.290375526896,21793.474714887878,27241.843393609848,10448.213653771385,13060.267067214232,15672.320480657077,18284.373894099925,20896.42730754277,26120.534134428464,10598.837223641993,13248.54652955249,15898.25583546299,18547.965141373486,21197.674447283986,26497.09305910498
2026,,,67394.53701410927,,307.32622848699845,267994305.94818562,251619276.37432787,257079931.3628321,11374.825028830757,14218.531286038447,17062.237543246138,19905.943800453824,22749.650057661514,28437.062572076895,10679.798708829117,13349.748386036397,16019.698063243677,18689.647740450957,21359.597417658235,26699.496772072795,10911.572271395244,13639.465339244056,16367.358407092866,19095.251474941677,21823.144542790487,27278.930678488112
2027,,,69383.11682778937,,314.1381260901027,279752391.8295721,257196427.254249,264665471.44753313,11873.888503711432,14842.36062963929,17810.832755567146,20779.304881495005,23747.777007422865,29684.72125927858,10916.516855485404,13645.646069356757,16374.775283228108,19103.90449709946,21833.03371097081,27291.292138713514,11233.535049325827,14041.918811657284,16850.30257398874,19658.686336320196,22467.070098651653,28083.83762331457
2028,,,71430.37275752543,,321.10100966399216,292026356.5207855,262897195.89663282,272474834.59796935,12394.848082604845,15493.560103256057,18592.272123907267,21690.98414455848,24789.69616520969,30987.120206512114,11158.48186891184,13948.1023361398,16737.72280336776,19527.34327059572,22316.96373782368,27896.2046722796,11564.99783585229,14456.24729481536,17347.496753778432,20238.746212741506,23129.99567170458,28912.49458963072
2029,,,73538.03613266752,,328.2182258184768,304838833.8883593,268724322.2939064,280514625.05908716,12938.66444365165,16173.330554564563,19407.996665477476,22642.66277639039,25877.3288873033,32346.661109129127,11405.81004611081,14257.26255763851,17108.715069166214,19960.167580693917,22811.62009222162,28514.52511527702,11906.240943388158,14882.801179235197,17859.361415082236,20835.921650929275,23812.481886776317,29765.602358470394
