Year,Levy,CPI Levy,AWI Levy,12.5k,CPI 12.5k,AWI 12.5k,Levy %,CPI %,AWI %
2023,235603013.9091584,235603013.9091584,235603013.9091584,12500.0,12500.0,12500.0,0.0,0.0,0.0
2033,361962232.51917887,293353359.3800342,315117087.24497485,19204.032373856902,15563.964702354288,16718.646867908636,53.63225899085521,24.511717618834297,33.749174943269075
2043,556090754.5129464,365259306.4566324,421466504.29541224,29503.58875329151,19378.959780490415,22361.052247506337,136.02871002633208,55.031678243923324,78.88841798005068
