,0
2002,0.0
2003,0.03328468710985853
2004,0.042710175688701585
2005,0.03253081234364375
2006,0.01925174831932349
2007,-0.005129508799865665
2008,0.002877613565771403
2009,-0.020588473597340222
2010,0.06134269291780709
2011,0.023167605881418266
2012,0.01196492745962314
2013,-0.018625920093432776
2014,-0.05470143402689934
2015,-0.084055014700804
2016,0.13878822954852973
2017,0.02694395475627963
2018,0.02896208421505497
2019,0.09619601578064144
2020,0.11600728111130656
2021,0.1255693129406216
2022,0.1382041038189845
2023,0.2208791837368637
