Year,Levy,CPI Levy,AWI Levy,12.5k,CPI 12.5k,AWI 12.5k,Levy %,CPI %,AWI %
2022,226767542.17164335,226767542.17164335,226767542.17164335,12500.0,12500.0,12500.0,0.0,0.0,0.0
2032,349461351.8007496,280602317.4537662,302235039.49616647,19263.192852365843,15467.508862080373,16659.959170181904,54.10554281892674,23.740070896642973,33.279673361455224
2042,538539313.1349121,347217506.55491364,402817873.424353,29685.647909395506,19139.506431882794,22204.33916417009,137.48518327516402,53.116051455062355,77.6347133133607
