Year,Levy,CPI Levy,AWI Levy,12.5k,CPI 12.5k,AWI 12.5k,Levy %,CPI %,AWI %
2017,188114037.29497474,188114037.29497474,188114037.29497474,12500.0,12500.0,12500.0,0.0,0.0,0.0
2027,297414650.66018075,233803008.3263401,244942519.3997431,19762.92246294569,15535.988946409814,16276.198929778544,58.1033797035655,24.28791157127852,30.209591438228344
2037,470222614.42729175,290588876.2396305,318938653.7689086,31245.848342111814,19309.356203437437,21193.17212813793,149.96678673689453,54.47484962749948,69.54537702510343
