,address,assessedvalue,buildingsize,city,class,estimatedvalue,homeownerexemption,lotsize,pin,seniorcitizenexemption,seniorfreezeexemption,taxafterexemptions,taxbeforeexemptions,taxbill2013,taxbill2014,taxbill2015,taxbill2016,taxbill2017,taxcode,township,zip
0,1230  EDMER AVE,"38,515","1,765",OAK PARK,2-03,"$385,150","1,219.10","5,440",16-05-100-014-0000,0.00,0.00,"12,691.81","13,910.91","$12,867.42","$10,836.34","$11,641.91","$13,043.96","$12,691.81",27001,OAK PARK,60302
0,1226  EDMER AVE,"53,454","2,900",OAK PARK,2-04,"$534,540","1,219.10","5,440",16-05-100-015-0000,0.00,0.00,"18,087.54","19,306.64","$16,694.70","$16,532.09","$17,771.32","$19,884.97","$18,087.54",27001,OAK PARK,60302
0,1222  EDMER AVE,"45,031","1,813",OAK PARK,2-04,"$450,310","1,219.10","5,440",16-05-100-016-0000,0.00,0.00,"15,045.28","16,264.38","$11,493.82","$13,237.38","$14,225.65","$15,927.76","$15,045.28",27001,OAK PARK,60302
0,1220  EDMER AVE,"42,197","2,191",OAK PARK,2-04,"$421,970","1,219.10","5,400",16-05-100-017-0000,975.28,"1,652.25","11,394.20","15,240.82","$12,822.56","$12,463.96","$13,393.46","$14,281.04","$11,394.20",27001,OAK PARK,60302
0,1216  EDMER AVE,"46,250","2,236",OAK PARK,2-04,"$462,500","1,219.10","5,400",16-05-100-018-0000,975.28,0.00,"14,510.34","16,704.72","$12,675.74","$13,407.07","$14,394.17","$16,152.18","$14,510.34",27001,OAK PARK,60302
0,1212  EDMER AVE,"39,157","1,806",OAK PARK,2-04,"$391,570","1,219.10","5,360",16-05-100-019-0000,975.28,0.00,"11,948.40","14,142.78","$11,215.46","$10,608.99","$11,382.98","$12,791.40","$11,948.40",27001,OAK PARK,60302
0,1210  EDMER AVE,"46,697","2,228",OAK PARK,2-04,"$466,970","1,219.10","5,360",16-05-100-020-0000,975.28,0.00,"14,671.75","16,866.13","$13,459.36","$14,300.13","$15,355.28","$17,224.72","$14,671.75",27001,OAK PARK,60302
0,1206  EDMER AVE,"60,866","2,881",OAK PARK,2-04,"$608,660","1,219.10","5,360",16-05-100-021-0000,0.00,0.00,"20,764.69","21,983.79","$18,835.18","$15,723.14","$16,900.74","$18,913.51","$20,764.69",27001,OAK PARK,60302
0,1204  EDMER AVE,"46,142","2,038",OAK PARK,2-05,"$461,420","1,219.10","5,320",16-05-100-022-0000,975.28,0.00,"14,471.33","16,665.71","$11,983.80","$11,793.59","$12,657.89","$14,214.13","$14,471.33",27001,OAK PARK,60302
0,1200  EDMER AVE,"60,314","3,144",OAK PARK,2-06,"$603,140","1,219.10","5,644",16-05-100-023-0000,0.00,0.00,"20,565.24","21,784.34","$15,715.12","$16,770.76","$18,028.08","$20,171.55","$20,565.24",27001,OAK PARK,60302
