Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
1999,75429679.5,30469.84,30997.959217703472,166.6,171.5640469049207,83594635.7391418,,,,,,,,,,,,,,,,,,,,
2000,78620765.21000001,32154.82,31876.114072580338,172.2,175.15742053309935,87328085.32504277,,,,,,,,,,,,,,,,,,,,
2001,89256917.67,32921.92,32779.1465635532,177.1,178.8260566318517,91228275.82305026,,,,,,,,,,,,,,,,,,,,
2002,93582323.99,33252.09,33707.761460145004,179.9,182.5715315581221,95302654.10800084,,,,,,,,,,,,,,,,,,,,
2003,98322767.05,34064.95,34662.68349760431,184.0,186.3954546853302,99558999.64224161,,,,,,,,,,,,,,,,,,,,
2004,105219440.69,35648.55,35644.6579425251,188.9,190.2994690948867,104005439.3294341,,,,,,,,,,,,,,,,,,,,
2005,117995366.55,36952.94,36654.451174486276,195.3,194.28525228220525,108650463.03176217,,,,,,,,,,,,,,,,,,,,
2006,122178446.88,38651.41,37692.851284172815,201.6,198.3545168774955,113502939.78014696,,,,,,,,,,,,,,,,,,,,
2007,126603159.88,40405.48,38760.66868843714,207.342,202.50901138165418,118572134.7084308,,,,,,,,,,,,,,,,,,,,
2008,132686050.45,41334.97,39858.736762789114,215.303,206.75052091756757,123867726.74387954,,,,,,,,,,,,,,,,,,,,
2009,135135817.71,40711.61,40987.91249179978,214.537,211.0808679971577,129399827.08775055,,,,,,,,,,,,,,,,,,,,
2010,145405555.4,41673.83,42149.07713793511,218.056,215.50191330447896,135178998.5212378,,,,,,,,,,,,,,,,,,,,
2011,150188802.28,42979.61,43343.13692933289,224.939,220.01555649523158,141216275.5736354,,,,,,,,,,,,,,,,,,,,
2012,152132431.23,44321.67,44571.0237670686,229.594,224.62373701301314,147523185.5912578,,,,,,,,,,,,,,,,,,,,
2013,147971179.61,44888.16,45833.695952452974,232.957,229.32843492266792,154111770.7473097,,,,,,,,,,,,,,,,,,,,
