Year,Levy,CPI Levy,AWI Levy,12.5k,CPI 12.5k,AWI 12.5k,Levy %,CPI %,AWI %
2021,218594907.19269148,218594907.19269148,218594907.19269148,12500.0,12500.0,12500.0,0.0,0.0,0.0
2031,338372707.0869051,268944476.3188807,289043187.1414962,19349.30183372419,15379.15954749383,16528.472166480104,54.794414669793504,23.033276379950628,32.22777733184082
2041,523782051.33750963,330891200.8580169,382195381.8863137,29951.638516204977,18921.48387098151,21855.231372648606,139.61310812963984,51.37187096785206,74.84185098118884
