Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
1999,75429679.5,30469.84,31302.54892561999,166.6,170.84535625329733,83051756.98040438,,,,,,,,,,,,,,,,,,,,
2000,78620765.21000001,32154.82,32141.44419649147,172.2,174.53642560500575,86843901.02552927,,,,,,,,,,,,,,,,,,,,
2001,89256917.66999999,32921.92,33002.82151114676,177.1,178.30723954713153,90809194.40526095,,,,,,,,,,,,,,,,,,,,
2002,93582323.99,33252.09,33887.28337899345,179.9,182.1595209407468,94955543.11992885,,,,,,,,,,,,,,,,,,,,
2003,98322767.05,34064.95,34795.4484564403,184.0,186.09502986888913,99291214.15791681,,,,,,,,,,,,,,,,,,,,
2004,105219440.69,35648.55,35727.951979630045,188.9,190.11556444072693,103824851.9783801,,,,,,,,,,,,,,,,,,,,
2005,117995366.55,36952.94,36685.44620876945,195.3,194.222961613112,108565495.74656443,,,,,,,,,,,,,,,,,,,,
2006,122178446.88,38651.41,37668.60088436707,201.6,198.41909802986854,113522597.35609013,,,,,,,,,,,,,,,,,,,,
2007,126603159.88,40405.48,38678.10369569811,207.342,202.70589087922085,118706040.27413364,,,,,,,,,,,,,,,,,,,,
2008,132686050.45000002,41334.97,39714.66076182385,215.303,207.0852987697447,124126159.24708043,,,,,,,,,,,,,,,,,,,,
2009,135135817.71,40711.61,40778.99712550223,214.537,211.55932262524317,129793760.90593821,,,,,,,,,,,,,,,,,,,,
2010,145405555.4,41673.83,41871.8572603351,218.056,216.13000659895616,135720145.3125933,,,,,,,,,,,,,,,,,,,,
2011,150188802.28,42979.61,42994.00559150666,224.939,220.79943900752258,141917128.48986956,,,,,,,,,,,,,,,,,,,,
2012,152132431.23,44321.67,44146.22703047731,229.594,225.56975328511274,148397065.9803098,,,,,,,,,,,,,,,,,,,,
2013,147971179.61,44888.16,45329.32752400853,232.957,230.44312895819044,155172877.48065168,,,,,,,,,,,,,,,,,,,,
2014,150429548.81,46481.52,46544.134617898315,236.736,235.42179264131855,162258072.60111344,,,,,,,,,,,,,,,,,,,,
2015,160987024.12,48098.63,47791.49803582761,237.017,240.50801905448662,169666777.80084968,,,,,,,,,,,,,,,,,,,,
2016,180389756.03,48642.15,49072.290273718034,240.007,245.70413206241622,177413764.55327967,,,,,,,,,,,,,,,,,,,,
2017,180131887.65,50321.89,50387.40721001843,245.12,251.01250573631995,185514478.7974451,,,,,,,,,,,,,,,,,,,,
2018,181577565.59,50321.89,51737.76873234684,251.107,256.4355654385996,193985071.73411703,193985071.73411703,193985071.73411703,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0
2019,,,53124.31938092629,,261.975788930979,202842432.0280535,198176068.60209858,199183790.84431145,10456.600098902285,13070.750123627855,15684.900148353427,18299.050173079,20913.20019780457,26141.50024725571,10216.047391199561,12770.05923899945,15324.071086799342,17878.08293459923,20432.094782399123,25540.1184779989,10267.995834097996,12834.994792622496,15401.993751146994,17968.992709671493,20535.99166819599,25669.98958524499
2020,,,54548.02900926424,,267.63570750657937,212104219.48061243,202457610.8640669,204521833.46092358,10934.048562836328,13667.560703545409,16401.07284425449,19134.58498496357,21868.097125672655,27335.121407090817,10436.762429923609,13045.953037404512,15655.143644885415,18264.334252366316,20873.524859847217,26091.906074809023,10543.173844905376,13178.967306131719,15814.760767358064,18450.55422858441,21086.34768981075,26357.934612263438
2021,,,56009.89346253817,,273.4179071464439,221788900.23985636,206831654.72963467,210002933.39588472,11433.297328355671,14291.621660444589,17149.945992533507,20008.270324622426,22866.594656711342,28583.243320889178,10662.245959479069,13327.807449348837,15993.368939218602,18658.93042908837,21324.491918958138,26655.614898697673,10825.726511765934,13532.158139707417,16238.5897676489,18945.021395590386,21651.453023531867,27064.316279414834
2022,,,57510.93527416144,,279.32502970106714,231915783.61835113,211300198.6718172,215630924.52573025,11955.341797446317,14944.177246807896,17933.012696169477,20921.848145531054,23910.683594892635,29888.354493615792,10892.601001866418,13615.751252333022,16338.901502799627,19062.05175326623,21785.202003732837,27231.502504666045,11115.851472389679,13894.814340487099,16673.77720858452,19452.740076681937,22231.702944779357,27789.628680974198
2023,,,59052.204381016905,,285.3597740974327,242505060.59206513,215865284.3401167,221409743.47328973,12501.222822158777,15626.528527698472,18751.834233238165,21877.139938777862,25002.445644317555,31253.057055396945,11127.932804849514,13909.916006061892,16691.89920727427,19473.88240848665,22255.865609699027,27819.832012123785,11413.751661094928,14267.18957636866,17120.627491642394,19974.065406916125,22827.503322189856,28534.37915273732
2024,,,60634.778857858495,,291.5248975721373,253577844.05712926,220528997.4933401,227343432.36124444,13072.028779858496,16340.035974823119,19608.043169787743,22876.050364752366,26144.05755971699,32680.071949646237,11368.34889004269,14210.436112553363,17052.523335064034,19894.610557574706,22736.69778008538,28420.872225106727,11719.635450755179,14649.544313443974,17579.453176132767,20509.362038821564,23439.270901510357,29299.088626887948
2025,,,62259.76567139441,,297.82321693115523,265156210.92472062,225293468.9525691,233436141.6394797,13668.897743232186,17086.122179040234,20503.34661484828,23920.571050656326,27337.795486464373,34172.24435808047,11613.959102036702,14517.448877545878,17420.93865305505,20324.428428564228,23227.918204073405,29034.897755091755,12033.716798550133,15042.145998187667,18050.5751978252,21059.004397462733,24067.433597100266,30084.291996375334
2026,,,63928.30145457951,,304.257609836819,277263246.1379989,230160875.57471934,239692132.98820868,14293.01974937669,17866.274686720863,21439.529624065035,25012.784561409208,28586.03949875338,35732.549373441725,11864.875658586046,14831.094573232558,17797.31348787907,20763.532402525583,23729.751317172093,29662.189146465116,12356.215395622783,15445.26924452848,18534.323093434174,21623.37694233987,24712.430791245566,30890.53848905696
2027,,,65641.55330165832,,310.8310161226048,289923088.6988568,235133441.2471318,246115782.29889894,14945.639172494462,18682.04896561808,22418.458758741694,26154.86855186531,29891.278344988925,37364.09793123616,12121.213201880513,15151.516502350643,18181.81980282077,21212.123103290898,24242.426403761026,30303.033004701287,12687.356820747224,15859.19602593403,19031.035231120837,22202.874436307644,25374.713641494447,31718.39205186806
2028,,,67400.7195845149,,317.5464391363268,303160979.79625213,240213437.9036553,252711582.73508626,15628.057204926345,19535.071506157932,23442.085807389518,27349.100108621104,31256.11440985269,39070.143012315864,12383.088850924598,15478.861063655746,18574.633276386896,21670.405489118046,24766.177701849196,30957.722127311492,13027.372698114725,16284.215872643406,19541.05904717209,22797.90222170077,26054.74539622945,32568.431745286813
2029,,,69207.03079090061,,324.4069471123381,317003313.1320804,245403186.5626715,259484147.87521765,16341.634451468339,20427.043064335423,24512.45167720251,28597.86029006959,32683.268902936677,40854.086128670846,12650.622255048058,15813.277818810073,18975.933382572086,22138.5889463341,25301.244510096116,31626.555637620146,13376.500859348394,16720.626074185493,20064.75128902259,23408.87650385969,26753.00171869679,33441.252148370986
2030,,,71061.7503851259,,331.4156745734016,331477687.54492635,250705058.38756394,266438214.93972024,17087.79364214488,21359.7420526811,25631.69046321732,29903.638873753538,34175.58728428976,42719.4841053622,12923.935648573484,16154.919560716855,19385.903472860224,22616.887385003596,25847.87129714697,32309.83912143371,13734.985509859755,17168.73188732469,20602.47826478963,24036.22464225457,27469.97101971951,34337.46377464938
