Year,Levy,CPI Levy,AWI Levy,12.5k,CPI 12.5k,AWI 12.5k,Levy %,CPI %,AWI %
2018,193985071.73411703,193985071.73411703,193985071.73411703,12500.0,12500.0,12500.0,0.0,0.0,0.0
2028,303160979.79625213,240213437.9036553,252711582.73508626,19535.071506157932,15478.861063655746,16284.215872643406,56.28057204926344,23.830888509245977,30.273726981147245
2038,473781713.4557281,297458434.4747001,329216797.34204006,30529.521500055846,19167.611186236496,21214.05492694797,144.23617200044677,53.340889489891985,69.71243941558376
