Year,Levy,CPI Levy,AWI Levy,12.5k,CPI 12.5k,AWI 12.5k,Levy %,CPI %,AWI %
2019,202601501.06774417,202601501.06774417,202601501.06774417,12500.0,12500.0,12500.0,0.0,0.0,0.0
2029,316351559.72291327,250088990.7647171,264398028.14979923,19518.090812240225,15429.857962965838,16312.689365353719,56.144726497921816,23.438863703726692,30.50151492282975
2039,493966277.7012458,308707008.4480847,345043432.16157544,30476.469516388082,19046.441340584017,21288.306746441795,143.81175613110466,52.37153072467211,70.30645397153437
