Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
1999,75429679.5,30469.84,31273.235395110623,166.6,171.18879127905018,83097511.0809655,,,,,,,,,,,,,,,,,,,,
2000,78620765.21000001,32154.82,32116.955437951317,172.2,174.83183546783155,86884188.31213757,,,,,,,,,,,,,,,,,,,,
2001,89256917.66999999,32921.92,32983.43818831803,177.1,178.55240675907245,90843420.94559005,,,,,,,,,,,,,,,,,,,,
2002,93582323.99,33252.09,33873.29776087866,179.9,182.35215499595594,94983072.17246346,,,,,,,,,,,,,,,,,,,,
2003,98322767.05,34064.95,34787.16483848946,184.0,186.2327651317381,99311363.502294,,,,,,,,,,,,,,,,,,,,
2004,105219440.69,35648.55,35725.68711918809,188.9,190.1959579769295,103836891.09125365,,,,,,,,,,,,,,,,,,,,
2005,117995366.55,36952.94,36689.52977524495,195.3,194.2434909623578,108568642.81445311,,,,,,,,,,,,,,,,,,,,
2006,122178446.88,38651.41,37679.37592460161,201.6,198.3771589184889,113516016.11621392,,,,,,,,,,,,,,,,,,,,
2007,126603159.88,40405.48,38695.9271150258,207.342,202.59879487131923,118688836.67375949,,,,,,,,,,,,,,,,,,,,
2008,132686050.45000002,41334.97,39739.903821329564,215.303,206.91027085520506,124097377.91140161,,,,,,,,,,,,,,,,,,,,
2009,135135817.71,40711.61,40812.045956001675,214.537,211.3134987430024,129752381.40395387,,,,,,,,,,,,,,,,,,,,
2010,145405555.4,41673.83,41913.11339361662,218.056,215.81043109386027,135665078.20992658,,,,,,,,,,,,,,,,,,,,
2011,150188802.28,42979.61,43043.886509390184,224.939,220.4030620190551,141847211.17684743,,,,,,,,,,,,,,,,,,,,
2012,152132431.23,44321.67,44205.16673226762,229.594,225.0934280662665,148311058.26301676,,,,,,,,,,,,,,,,,,,,
2013,147971179.61,44888.16,45397.7771129307,232.957,229.88360912264764,155069456.92201394,,,,,,,,,,,,,,,,,,,,
2014,150429548.81,46481.52,46622.56290713039,236.736,234.77572933713762,162135829.59838068,,,,,,,,,,,,,,,,,,,,
2015,160987024.12,48098.63,47880.39217475701,237.017,239.77195806238552,169524210.38513106,,,,,,,,,,,,,,,,,,,,
2016,180389756.03,48642.15,49172.15639507309,240.007,244.8745108167188,177249272.89599657,,,,,,,,,,,,,,,,,,,,
2017,180131887.65,50321.89,50498.77109854272,245.12,250.0856502665988,185326359.4078069,,,,,,,,,,,,,,,,,,,,
2018,181577565.59,52145.8,51861.1765157106,251.107,255.4076872299683,193771511.3308505,,,,,,,,,,,,,,,,,,,,
2019,201488722.26,52145.8,53260.33824358367,255.657,260.842981700951,202601501.06774417,202601501.06774417,202601501.06774417,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0
