PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Renovation,Site Desirability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Estimate (Land),Estimate (Building),Sale Date,Deed No.,Sale Price,Longitude,Latitude,Census Tract,Total Building Square Feet,Multi Property Indicator,Property Address,Modeling Group,Full Baths,Age,Use,Number of Units,Percent Ownership,Condo Class Factor,Multi-Family Indicator,Large Lot,"Condition, Desirability and Utility",Location Factor,O'Hare Noise,Floodplain,Road Proximity,Condo Strata,Sale Year,Sale Quarter,Sale Half-Year,Sale Quarter of Year,Sale Month of Year,Sale Half of Year,Most Recent Sale,Age Squared,Age Decade,Age Decade Squared,Lot Size Squared,Improvement Size Squared,Pure Market Filter,Garage Indicator,Neigborhood Code (mapping),Square root of lot size,Square root of age,Square root of improvement size,Town and Neighborhood,"Town and Neighborhood, SF Group Only"
16081150110000,211,90,8550,27,2,3,2,1,12,5,1,3,2,5,0,0,1,1,0,0,0,2,,2,3,1,2,2,7,0,0,0,3,0,2796,2,2,0,72670,336640,09/03/2019,1924622077,434000,-87.77875,41.89164,812500,,0,233 N TAYLOR AVE,MF,3,111,2,,,,211,,,0.7826907,0,0,0,,2019,91,46,3,9,2,1,12321,11.1,123.21,73102500,7817616,1,1,90,92.46621,10.53565,52.87722,2790,3
16081150050000,211,90,6840,27,2,2,4,1,12,4,1,3,2,5,0,0,2,3,0,2,2,2,,2,3,4,2,2,7,0,0,0,2,0,2419,2,2,0,58140,257870,07/09/2019,1919057026,620000,-87.77943,41.89118,812500,,0,220 N LOMBARD AVE,MF,2,104,2,,,,211,,,0.7988864,0,0,0,,2019,91,46,3,7,2,1,10816,10.4,108.16,46785600,5851561,1,1,90,82.70429,10.19804,49.18333,2790,3
16081120050000,205,90,8550,27,2,0,1,1,11,4,1,3,1,5,0,0,3,,0,2,0,2,,2,4,1,2,2,7,0,0,0,3,0,2045,2,2,0,72670,356850,06/27/2019,1917845063,1,-87.78431,41.89101,812500,,0,216 N RIDGELAND AVE,SF,2,111,1,,,,,,,0.8293659,0,0,1,,2019,90,45,2,6,1,1,12321,11.1,123.21,73102500,4182025,0,1,90,92.46621,10.53565,45.22168,2790,
16081090150000,206,90,5557,27,2,0,4,1,7,3,3,1,2,5,1,0,3,,1,2,2,2,,2,3,4,2,2,7,0,0,0,1,0,2378,2,2,0,47230,411870,02/15/2019,1904619106,1,-87.77878,41.89259,812500,,0,319 N TAYLOR AVE,SF,2,94,1,,,,,,,0.8345733,0,0,0,,2019,89,45,1,2,1,1,8836,9.4,88.36,30880249,5654884,0,1,90,74.54529,9.69536,48.76474,2790,
16081080180000,204,90,14535,27,5,0,2,1,8,3,1,3,2,5,0,1,1,1,1,2,0,2,,2,4,2,2,2,7,0,0,0,3,0,2929,2,2,0,123540,410060,08/01/2019,1921357108,655000,-87.78038,41.89199,812500,,0,305 N LOMBARD AVE,SF,2,100,1,,,,,,,0.8013349,0,0,0,,2019,91,46,3,8,2,1,10000,10,100,211266225,8579041,1,1,90,120.5612,10,54.12024,2790,3
16081080050000,206,90,8550,27,2,0,1,1,9,5,3,3,1,5,0,0,1,1,1,2,2,2,,2,4,1,2,2,7,0,0,0,1,15,2567,2,2,0,72670,420240,02/06/2019,1903749217,692000,-87.7811,41.89243,812500,,0,316 N HARVEY AVE,SF,2,115,1,,,,,,,0.8496298,0,0,0,,2019,89,45,1,2,1,1,13225,11.5,132.25,73102500,6589489,1,1,90,92.46621,10.72381,50.66557,2790,3
16081070040000,206,90,6840,27,2,0,1,1,8,4,1,3,1,5,1,1,2,1,1,2,2,2,,2,3,1,2,2,7,0,0,0,3,0,2699,2,2,0,58140,510930,07/19/2019,1920017074,1,-87.78273,41.89264,812500,,0,324 N CUYLER AVE,SF,2,119,1,,,,,,,0.819911,0,0,0,,2019,91,46,3,7,2,1,14161,11.9,141.61,46785600,7284601,0,1,90,82.70429,10.90871,51.9519,2790,
16081060070000,206,90,8550,27,2,0,4,1,7,4,1,3,2,5,0,1,2,3,2,0,0,2,,2,3,1,2,2,7,0,0,0,3,0,2442,2,2,0,72670,392670,09/25/2019,1926841015,350000,-87.78435,41.89239,812500,,0,316 N RIDGELAND AVE,SF,1,111,1,,,,,,,0.8115633,0,0,1,,2019,91,46,3,9,2,1,12321,11.1,123.21,73102500,5963364,1,1,90,92.46621,10.53565,49.4166,2790,3
16081060060000,205,90,5643,27,2,0,1,1,7,4,1,3,2,5,0,0,1,1,0,2,2,2,,2,3,1,2,2,7,0,0,0,1,0,1976,2,2,0,47960,371490,09/19/2019,1926212030,438500,-87.78435,41.8925,812500,,0,318 N RIDGELAND AVE,SF,1,114,1,,,,,,,0.8133712,0,0,1,,2019,91,46,3,9,2,1,12996,11.4,129.96,31843449,3904576,1,1,90,75.1199,10.67708,44.45222,2790,3
16081060050000,206,90,5643,27,2,0,1,1,6,4,1,3,2,5,0,0,2,1,1,2,2,2,,2,1,1,2,2,7,0,0,0,3,0,2771,2,2,0,47960,451740,07/19/2019,1920015047,450000,-87.78435,41.89259,812500,,0,320 N RIDGELAND AVE,SF,1,121,1,,,,,,,0.8287144,0,0,1,,2019,91,46,3,7,2,1,14641,12.1,146.41,31843449,7678441,1,1,90,75.1199,11,52.64029,2790,3
16081060020000,205,90,5643,27,2,0,1,1,6,4,1,3,2,5,0,0,1,3,1,1,2,2,,2,3,1,2,2,7,0,0,0,3,0,1904,2,2,0,47960,334340,03/15/2019,1907446020,1,-87.78436,41.89286,812500,,0,328 N RIDGELAND AVE,SF,1,114,1,,,,,,,0.8601745,0,0,1,,2019,89,45,1,3,1,1,12996,11.4,129.96,31843449,3625216,0,1,90,75.1199,10.67708,43.63485,2790,
16081050221003,299,30,8550,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6240,91510,08/15/2019,1922708356,1,-87.77555,41.8938,812500,,0,714 N AUSTIN BLVD,NCHARS,,48,1,10,0.09,299,,,,0.7764233,0,0,0,3,2019,91,46,3,8,2,1,2304,4.8,23.04,73102500,,0,,30,92.46621,6.928203,,2730,
16081050211005,299,30,8550,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6600,83740,08/08/2019,1922022099,1,-87.77556,41.89393,812500,,0,720 N AUSTIN BLVD,NCHARS,,49,1,10,0.10,299,,,,0.778676,0,0,0,2,2019,91,46,3,8,2,1,2401,4.9,24.01,73102500,,0,,30,92.46621,7,,2730,
16081050211004,299,30,8550,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6240,130840,03/28/2019,1908749080,70000,-87.77556,41.89393,812500,,0,720 N AUSTIN BLVD,NCHARS,,49,1,10,0.09,299,,,,0.8109891,0,0,0,2,2019,89,45,1,3,1,1,2401,4.9,24.01,73102500,,1,,30,92.46621,7,,2730,1
16081040210000,211,30,4100,27,2,2,2,2,12,6,1,1,1,5,1,0,3,,0,2,2,2,,2,3,1,2,2,7,0,0,0,3,0,2736,2,2,0,34850,319290,03/22/2019,1908157098,350000,-87.77741,41.89342,812500,,0,50  SUPERIOR ST,MF,2,117,2,,,,211,,,0.8211126,0,0,0,,2019,89,45,1,3,1,1,13689,11.7,136.89,16810000,7485696,1,1,30,64.03124,10.81665,52.30679,2730,2
16081040040000,205,30,3874,27,2,0,2,2,5,3,1,3,1,5,0,0,3,,0,2,2,2,,2,3,1,2,2,7,0,0,0,3,0,2134,2,2,0,32920,398440,06/25/2019,1917646002,440000,-87.77779,41.89435,812500,,0,53  CHICAGO AVE,SF,2,114,1,,,,,,,0.8036127,0,0,0,,2019,90,45,2,6,1,1,12996,11.4,129.96,15007876,4553956,1,1,30,62.24147,10.67708,46.19524,2730,3
