classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,marketvalue,marketvaluepreviousyear,halfbaths,buildingsqft,exemption1year,exemption2year,exemption3year,exemption4year,class,tax_year,nbhd,hd_sf,town_code,type_resd,apts,ext_wall,roof_cnst,rooms,beds,bsmt,bsmt_fin,heat,oheat,air,frpl,attic_type,attic_fnsh,hbath,tp_plan,tp_dsgn,cnst_qlty,renovation,site,gar1_size,gar1_cnst,gar1_att,gar1_area,gar2_size,gar2_cnst,gar2_att,gar2_area,porch,ot_impr,bldg_sf,repair_cnd,multi_code,ncu,pri_est_land,pri_est_bldg,doc_no,most_recent_sale_price,centroid_x,centroid_y,tractce,total_bldg_sf,multi_ind,fbath,age2,use_1,n_units,per_ass,condo_class_factor,multi_family_ind,large_lot,o_hare_noise,floodplain,near_major_road,total_units,condo_strata,age_squared,age_decade,age_decade_squared,lot_size_squared,improvement_size_squared,location_factor,garage_indicator,residential_share_of_building,pure_market_sale,pure_market_filter,neigborhood_code_mapping_,square_root_of_lot_size,square_root_of_age,square_root_of_improvement_size,town_and_neighborhood,multiplier,eavpreviousyear,combinedassessedvalueprevyear,homeownerexemption,estimatedtaxpreviousyear,estimatednewtax,assessmentpersqft
208,106692.0,420,297011,121140.0,849269.0,970409.0,9704090.0,9704000.0,11.0,47825.0,22218.0,22207.0,22196.0,18153.0,2288.0,22209.0,420.0,106692.0,297.0,22.0,0.0,20.0,11.0,109.0,48.0,13.0,21.0,11.0,55.0,11.0,21.0,21.0,10.0,11.0,22.0,19.0,21.0,0.0,22.0,39.0,19.0,19.0,20.0,77.0,0.0,0.0,0.0,29.0,0.0,47825.0,22.0,22.0,0.0,1096650.0,8271730.0,0.0,0.0,-965.7499742705111,460.8413764385266,8936804.0,0.0,0.0,43.0,135.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,2199.0,13.5,21.99,1129379522.0,208679973.0,9.959291875411353,11.0,0.0,0.0,0.0,420.0,1072.5154304102575,36.65458372283329,724.9826672559683,30120.0,1.1,2824737.36,970400.0,11,344391.58148959995,261974.68335665,195.24762934951013
209,1100904.0,3853,1620060,1156304.0,5933966.0,7090270.0,70902700.0,68346880.0,66.0,329252.0,121191.0,121131.0,121067.0,110927.0,12537.0,121140.0,3853.0,1100904.0,1620.0,125.0,0.0,131.0,102.0,655.0,316.0,96.0,152.0,87.0,297.0,43.0,107.0,122.0,52.0,49.0,114.0,109.0,118.0,0.0,119.0,206.0,83.0,84.0,91.0,419.0,1.0,1.0,1.0,146.0,2355.0,305438.0,121.0,131.0,0.0,10321520.0,61188140.0,13399786668.0,6019806.0,-5267.5547547643755,2513.6343631929976,48745322.0,140808.0,20.0,207.0,6299.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,0.0,701487.0,629.9,7014.87,23927053062.0,1770849880.0,52.844672445921276,50.0,0.0,5.0,5.0,3853.0,7955.696928176654,603.0885371181338,4146.71764655721,165853.0,6.0,19895093.2992,6834688.0,60,2447775.535936512,1933769.9599994998,1488.2770319575177
210,305338.0,6607,5130190,403890.0,3706956.0,4110846.0,41108460.0,41103410.0,154.0,223340.0,383756.0,383566.0,383376.0,316658.0,42025.0,383610.0,6607.0,305338.0,5130.0,380.0,0.0,366.0,237.0,961.0,430.0,203.0,474.0,211.0,947.0,123.0,201.0,550.0,21.0,154.0,302.0,108.0,379.0,2.0,380.0,60.0,82.0,89.0,89.0,1330.0,0.0,0.0,0.0,558.0,64.0,223340.0,381.0,380.0,0.0,3619280.0,35931830.0,17218453747.0,1654002.0,-16681.97432924548,7959.388215034317,154382295.0,0.0,0.0,220.0,14201.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,190.0,0.0,1172429.0,1420.1,11724.289999999999,736854196.0,294629522.0,172.01377662059136,46.0,0.0,7.0,7.0,6607.0,7389.706291494579,1625.2669489418709,6437.961091349188,835507.0,19.0,11964791.616899999,4110341.0,189,1278088.064519934,972359.2464651,3160.0018259098256
211,5662356.0,50769,25056928,5968273.0,32425010.0,38393283.0,383932830.0,380788970.0,2445.0,123512.0,1874134.0,1873206.0,1872278.0,1155670.0,195771.0,1873632.0,50769.0,5662356.0,25056.0,1993.0,2231.0,1908.0,1317.0,11438.0,5317.0,1038.0,2545.0,1519.0,4613.0,174.0,1083.0,2209.0,928.0,263.0,1623.0,1284.0,1840.0,1.0,1857.0,2398.0,924.0,1338.0,1362.0,6491.0,1.0,2.0,2.0,1902.0,26868.0,2832201.0,1857.0,1879.0,3.0,53830170.0,336642060.0,109329593187.0,16178372.0,-81380.37735829983,38826.30222603493,753378525.0,111554.0,24.0,2434.0,96853.0,1836.0,0.0,0.0,0.0,194331.0,0.0,0.0,0.0,98.0,928.0,0.0,10427175.0,9685.3,104271.75,38905248228.0,9857388415.0,758.0422836469488,689.0,0.0,35.0,35.0,50769.0,71374.01836512548,9432.958381276192,50498.80575458863,3795669.0,92.80000000000001,110843861.2773,38078897.0,4,14056577.841638276,10780884.222273549,321537.1768994273
212,573838.0,7014,3591142,635010.0,4698681.0,5333691.0,53336910.0,53076900.0,397.0,12605.0,266527.0,258323.0,252144.0,52440.0,27772.0,264489.0,6904.0,565317.0,3537.0,262.0,422.0,263.0,252.0,1162.0,477.0,341.0,378.0,198.0,655.0,61.0,134.0,265.0,184.0,145.0,258.0,257.0,257.0,4.0,258.0,183.0,97.0,102.0,105.0,917.0,0.0,0.0,0.0,381.0,1092.0,583733.0,257.0,266.0,155.0,5571200.0,45140090.0,15291488024.0,2847504.0,-11237.023065693804,5361.00214753139,104028434.0,48056.0,6.0,378.0,11971.0,261.0,0.0,0.0,0.0,27772.0,0.0,0.0,0.0,40.0,131.0,0.0,1152849.0,1197.1,11528.49,3041146995.0,3491053101.0,105.25254328426853,56.0,0.0,4.0,4.0,6904.0,8403.77553828612,1240.4712840373445,8390.084249587695,676504.0,13.3,15450154.820999999,5307690.0,0,1960006.6405920598,1498243.6692283498,
213,83069.0,122,108006,85870.0,2765025.0,2850895.0,28508950.0,23116390.0,0.0,0.0,8080.0,8076.0,8072.0,8068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6728949.9651,2311639.0,0,853634.5925725859,800821.67965575,
218,21923.0,111,54002,22610.0,126844.0,149454.0,1494540.0,1494530.0,0.0,0.0,4039.0,4037.0,4035.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,435042.73769999994,149453.0,0,55189.52170462199,41981.9050899,
234,143286.0,992,540020,157740.0,692199.0,849939.0,8499390.0,8429320.0,13.0,28794.0,40398.0,40378.0,40358.0,36305.0,4680.0,40380.0,992.0,143286.0,540.0,80.0,0.0,49.0,20.0,118.0,62.0,58.0,20.0,21.0,100.0,16.0,28.0,59.0,1.0,13.0,22.0,16.0,39.0,0.0,40.0,59.0,32.0,31.0,38.0,140.0,0.0,0.0,0.0,56.0,0.0,28794.0,39.0,40.0,0.0,1425150.0,5811040.0,3848968164.0,2.0,-1755.84391584826,837.7551975389023,16253100.0,0.0,0.0,29.0,1064.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,57740.0,106.4,577.4,1102052994.0,43587518.0,17.361471498685713,19.0,0.0,0.0,0.0,992.0,1674.0224320418324,145.47461311606503,754.2510201473187,79292.0,2.0,2453690.7588,842932.0,20,285903.209661368,219449.43748715,483.2263006368122
241,817569.0,13369,6237239,896231.0,0.0,896231.0,8962310.0,8961320.0,0.0,0.0,4035.0,2015.0,2014.0,0.0,54707.0,458313.0,13109.0,789236.0,6129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0,0.0,0.0,6461810.0,0.0,5770214129.0,1275000.0,-19840.614386678568,9465.681394577427,183670867.0,0.0,0.0,0.0,2270.0,227.0,0.0,0.0,45400.0,0.0,0.0,0.0,0.0,19.0,227.0,227.0,22700.0,227.0,227.0,6147217482.0,0.0,188.09078518924056,0.0,0.0,3.0,3.0,13109.0,12138.615503185787,717.8370288582222,0.0,1014809.0,23.1,2608550.6388,896132.0,0,330920.734038168,251752.94592735,0.0
278,586796.0,3792,2403102,659484.0,5119093.0,5778577.0,57785770.0,57487630.0,73.0,252620.0,177734.0,175627.0,175540.0,145215.0,24030.0,175653.0,3632.0,579146.0,2349.0,177.0,0.0,146.0,98.0,685.0,343.0,111.0,170.0,90.0,427.0,82.0,146.0,219.0,40.0,70.0,170.0,156.0,169.0,0.0,171.0,268.0,117.0,141.0,151.0,602.0,0.0,0.0,0.0,254.0,173.0,242636.0,170.0,174.0,0.0,5893290.0,47815080.0,21117883153.0,6997402.0,-7637.8398750016195,3644.3749488943436,70693638.0,6442.0,2.0,235.0,1626.0,87.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,87.0,1.0,66752.0,162.6,667.52,4287249572.0,712125614.0,75.11796313284654,80.0,0.0,9.0,9.0,3632.0,6999.428520501939,323.8903127568338,4541.583027280426,360032.0,8.9,16734074.216699999,5748763.0,89,2009979.255130562,1537327.96966745,1819.2274784883639
