Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
1999,75429679.5,30469.84,31154.411133341917,166.6,171.58003720056743,83289189.1230366,,,,,,,,,,,,,,,,,,,,
2000,78620765.21000001,32154.82,32013.965119585107,172.2,175.17141347631414,87054509.60670607,,,,,,,,,,,,,,,,,,,,
2001,89256917.67,32921.92,32897.23430468446,177.1,178.8379615713716,90990051.92221254,,,,,,,,,,,,,,,,,,,,
2002,93582323.99,33252.09,33804.872993855686,179.9,182.58125492221356,95103511.42302184,,,,,,,,,,,,,,,,,,,,
2003,98322767.05,34064.95,34737.553544675786,184.0,186.40289989922917,99402931.3525521,,,,,,,,,,,,,,,,,,,,
2004,105219440.69,35648.55,35695.96686514799,188.9,190.30453649606534,103896718.57150955,,,,,,,,,,,,,,,,,,,,
2005,117995366.55,36952.94,36680.822925511966,195.3,194.28783903341133,108593659.99622978,,,,,,,,,,,,,,,,,,,,
2006,122178446.88,38651.41,37692.851284172546,201.6,198.3545168774941,113502939.78014535,,,,,,,,,,,,,,,,,,,,
2007,126603159.88,40405.48,38732.80162813871,207.342,202.5063151736331,118634157.27200443,,,,,,,,,,,,,,,,,,,,
2008,132686050.45,41334.97,39801.444328376165,215.303,206.74501559513567,123997345.78593361,,,,,,,,,,,,,,,,,,,,
2009,135135817.71,40711.61,40899.571010477965,214.537,211.0724371078671,129602992.22005513,,,,,,,,,,,,,,,,,,,,
2010,145405555.4,41673.83,42027.99514108428,218.056,215.4904367508391,135462057.56201676,,,,,,,,,,,,,,,,,,,,
2011,150188802.28,42979.61,43187.55263047865,224.939,220.00091043311448,141585998.32154086,,,,,,,,,,,,,,,,,,,,
2012,152132431.23,44321.67,44379.10245180995,229.594,224.6057937474146,147986788.93187276,,,,,,,,,,,,,,,,,,,,
2013,147971179.61,44888.16,45603.52727740178,232.957,229.3070628007416,154676945.16396812,,,,,,,,,,,,,,,,,,,,
2014,150429548.81,46481.52,46861.73413261304,236.736,234.10673506238587,161669548.59917462,,,,,,,,,,,,,,,,,,,,
2015,160987024.12,48098.63,48154.655067743406,237.017,239.0068702297,168978272.20827147,,,,,,,,,,,,,,,,,,,,
2016,180389756.02999997,48642.15,49483.24784847351,240.007,244.00957111196954,176617407.08687836,,,,,,,,,,,,,,,,,,,,
2017,180131887.65,50321.89,50848.49666535438,245.12,249.1169845328092,184601890.3995257,,,,,,,,,,,,,,,,,,,,
2018,181577565.59,52145.8,52251.41286287527,251.107,254.3313022514309,192947334.5869898,,,,,,,,,,,,,,,,,,,,
2019,201488722.26,54099.99,53693.03568864124,255.657,259.654761903194,201670057.89405197,,,,,,,,,,,,,,,,,,,,
2020,205748925.0,55628.6,55174.433063226475,258.811,265.0896479598611,210787116.2773381,210787116.2773381,210787116.2773381,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0
2021,,,56696.702371261934,,270.6382927099254,220316336.75564337,215199143.81260622,216602758.41126978,10452.077937522872,13065.09742190359,15678.11690628431,18291.136390665026,20904.155875045744,26130.19484380718,10209.312011720067,12761.640014650084,15313.9680175801,17866.296020510115,20418.624023440134,25523.280029300167,10275.901214298123,12844.876517872653,15413.851821447182,17982.827125021715,20551.802428596246,25689.753035745307
2022,,,58260.97127435496,,276.30307725948524,230276352.2679487,219703520.38379145,222578854.81786892,10924.593321205082,13655.741651506354,16386.889981807624,19118.038312108896,21849.186642410164,27311.48330301271,10423.005175265163,13028.756469081454,15634.507762897745,18240.259056714036,20846.010350530327,26057.51293816291,10559.414576601359,13199.268220751697,15839.121864902037,18478.975509052376,21118.829153202718,26398.536441503395
2023,,,59868.39854643363,,282.08643255405,240686638.10730714,224302178.96714422,228719832.45000407,11418.470082897737,14273.08760362217,17127.705124346605,19982.32264507104,22836.940165795473,28546.17520724434,10641.171193405578,13301.463991756973,15961.756790108368,18622.049588459762,21282.342386811157,26602.927983513946,10850.750106997595,13563.437633746995,16276.125160496393,18988.81268724579,21701.50021399519,27126.87526749399
2024,,,61520.17493213812,,287.9908404217325,251567550.00179365,228997092.99842495,235030240.40070593,11934.673923372038,14918.34240421505,17902.01088505806,20885.67936590107,23869.347846744076,29836.6848084301,10863.903688360513,13579.87961045064,16295.855532540769,19011.831454630897,21727.807376721026,27159.75922090128,11150.123620054204,13937.654525067755,16725.185430081307,19512.716335094858,22300.24724010841,27875.30905013551
2025,,,63217.52402889954,,294.0188346382971,262940363.91704294,233790277.21978134,241514753.27304104,12474.214200600642,15592.767750750801,18711.321300900963,21829.87485105112,24948.428401201283,31185.535501501603,11091.29824197497,13864.122802468712,16636.947362962455,19409.771923456196,22182.59648394994,27728.245604937423,11457.756884688997,14322.196105861245,17186.635327033495,20051.074548205743,22915.513769377994,28644.39221172249
