Year,Levy,CPI Levy,AWI Levy,12.5k,CPI 12.5k,AWI 12.5k,Levy %,CPI %,AWI %
2020,210787116.2773381,210787116.2773381,210787116.2773381,12500.0,12500.0,12500.0,0.0,0.0,0.0
2030,327997442.1485078,259303769.07186016,276721732.70681506,19450.75249030834,15377.11208655463,16410.024103579763,55.60601992246671,23.016896692437054,31.280192828638107
2040,510383765.17478824,318987449.71872574,363280824.29625535,30266.541795138884,18916.446089797162,21543.111286405507,142.13233436111108,51.3315687183773,72.34489029124404
